CodingDate,VideoCoder,VideoFileName,TrialDate,Experimenter,BirdID,Test,Condition,Time,Session,IndicatedTrial,LatencyFirstLand,LatencyFirstLand2,LatencyFirstLandSummedAcrossCol_L_andCol_M,Total seconds in pt1 video (from when experimenter leaves view),"LatencyFirstTimeWithin20cmOfObject (pt2 latency starts at p2 video, so need to add total time of pt1 video to total)",LatencyFirstTimeWithin20cmOfObject (pt2 latency starts from pt1 beginning),LatencyFirstTouchToObject,LatencyFirstEnterTent,TotalDurationInTent,TotalDurationNear<20cm,TotalDurationFar>20cm,TotalDurationOutOfView(sec),ClosestDistanceToApparatus,TrialEndTimeStamp,TrialDuration,Notes
2021-02-03,AJB,A088YR 2020-03-02 ExploreObj Time1 Familiar T1 (pt. 1),2020-03-02,MM,A088YR,Object,Familiar,1,n/a,1,62.20,62.20,,,n/a,,n/a,n/a,n/a,n/a,123.60,1951.60,Far,,2075.00,
2021-02-03,AJB,A088YR 2020-03-02 ExploreObj Time1 Familiar T1 (pt. 2),2020-03-02,MM,A088YR,Object,Familiar,1,n/a,1,,n/a,,,n/a,,n/a,n/a,n/a,n/a,n/a,1116.00,OutOfView,,1116.00,No solomon output excel file b/c nothing happened
2021-02-03,AJB,A088YR 2020-03-02 ExploreObj Time1 Novel T1 (pt. 1),2020-03-02,MM,A088YR,Object,Novel,1,n/a,1,1563.20,1563.20,,,n/a,,n/a,n/a,n/a,n/a,178.00,1823.60,Far,,2076.00,
2021-02-03,AJB,A088YR 2020-03-02 ExploreObj Time1 Novel T1 (pt. 2),2020-03-02,MM,A088YR,Object,Novel,1,n/a,1,,n/a,,,n/a,,n/a,n/a,n/a,n/a,n/a,656.60,OutOfView,,656.60,No solomon output excel file b/c nothing happened
2021-02-03,AJB,A088YR 2020-04-16 ExploreObj Time2 Familiar T1 (pt. 1),2020-04-16,MM,A088YR,Object,Familiar,2,n/a,1,1092.60,1092.60,,,n/a,,n/a,n/a,n/a,n/a,215.60,1219.80,Far,,1435.20,
2021-02-03,AJB,A088YR 2020-04-16 ExploreObj Time2 Familiar T1 (pt. 2),2020-04-16,MM,A088YR,Object,Familiar,2,n/a,1,,n/a,,,n/a,,n/a,n/a,n/a,n/a,n/a,675.60,OutOfView,,675.60,No solomon output excel file b/c nothing happened
2021-02-03,AJB,A088YR 2020-04-16 ExploreObj Time2 Novel T1 (pt. 1),2020-04-16,MM,A088YR,Object,Novel,2,n/a,1,595.00,595.00,,,n/a,,n/a,n/a,n/a,n/a,37.20,1982.20,Far,,2019.20,
2021-02-03,AJB,A088YR 2020-04-16 ExploreObj Time2 Novel T1 (pt. 2),2020-04-16,MM,A088YR,Object,Novel,2,n/a,1,,224.40,,,n/a,,n/a,n/a,n/a,n/a,171.00,521.40,Far,,692.20,
2021-02-04,AJB,A090SB 2020-04-27 ExploreEnv Time1 Familiar T1 (pt. 1),2020-04-27,MM,A090SB,Environment,Familiar,1,n/a,1,797.00,797.00,,,797.00,,n/a,797.00,0.40,95.00,124.00,1801.20,Near,,2020.40,
2021-02-04,AJB,A090SB 2020-04-27 ExploreEnv Time1 Familiar T1 (pt. 2),2020-04-27,MM,A090SB,Environment,Familiar,1,n/a,1,,165.60,,,166.00,,n/a,167.00,21.80,51.40,469.40,167.00,Near,,709.40,
2021-02-04,AJB,A090SB 2020-04-27 ExploreEnv Time1 Novel T1 (pt. 1),2020-04-27,MM,A090SB,Environment,Novel,1,n/a,1,89.80,89.80,,,92.80,92.80,932.20,n/a,n/a,65.60,855.40,1073.00,Touch,,1993.80,
2021-02-04,AJB,A090SB 2020-04-27 ExploreEnv Time1 Novel T1 (pt. 2),2020-04-27,MM,A090SB,Environment,Novel,1,n/a,1,,142.60,,,142.60,,n/a,n/a,n/a,73.00,509.80,149.00,Near,,731.60,
2021-02-04,AJB,A090SB 2020-05-12 ExplorEnv Time2 Familiar T1 (pt.  1),2020-05-12,MM,A090SB,Environment,Familiar,2,n/a,1,337.80,337.80,,,337.80,,n/a,n/a,n/a,30.00,114.40,1894.40,Near,,2038.60,
2021-02-04,AJB,A090SB 2020-05-12 ExploreEnv Time2 Familiar T1 (pt.  2),2020-05-12,MM,A090SB,Environment,Familiar,2,n/a,1,,86.20,,,86.20,,n/a,n/a,n/a,1.60,38.20,637.40,Near,,677.00,
2021-02-04,AJB,A090SB 2020-05-12 ExploreEnv Time2 Novel T1 (pt. 1),2020-05-12,MM,A090SB,Environment,Novel,2,n/a,1,45.80,45.80,,,50.80,50.80,n/a,n/a,n/a,8.40,216.40,1792.80,Near,,2017.40,
2021-02-04,AJB,A090SB 2020-05-12 ExploreEnv Time2 Novel T1 (pt. 2),2020-05-12,MM,A090SB,Environment,Novel,2,n/a,1,,438.20,,,440.60,,n/a,n/a,n/a,2.60,139.40,600.00,Near,,744.80,
2021-02-04,AJB,A090SB 2020-04-22 ExploreObj Time1 Familiar T1 (pt. 1),2020-04-22,MM,A090SB,Object,Familiar,1,n/a,1,1282.60,1282.60,,,n/a,,n/a,n/a,n/a,n/a,126.80,1891.60,Far,,2018.20,
2021-02-04,AJB,A090SB 2020-04-22 ExploreObj Time1 Familiar T1 (pt. 2),2020-04-22,MM,A090SB,Object,Familiar,1,n/a,1,,n/a,,,n/a,,n/a,n/a,n/a,n/a,n/a,685.60,OutOfView,,685.60,No solomon output excel file b/c nothing happened
2021-02-04,AJB,A090SB 2020-04-22 ExploreObj Time1 Novel T1 (pt. 1),2020-04-22,MM,A090SB,Object,Novel,1,n/a,1,1889.20,1889.20,,,n/a,,n/a,n/a,n/a,n/a,159.60,1889.00,Far,,2048.40,
2021-02-04,AJB,A090SB 2020-04-22 ExploreObj Time1 Novel T1 (pt. 2),2020-04-22,MM,A090SB,Object,Novel,1,n/a,1,,n/a,,,n/a,,n/a,n/a,n/a,n/a,260.00,530.60,Far,,790.40,
2021-02-04,AJB,A090SB 2020-05-08 ExploreObj Time2 Familiar T1 (pt. 1),2020-05-08,MM,A090SB,Object,Familiar,2,n/a,1,41.80,41.80,,,50.00,,n/a,n/a,n/a,2.80,1608.40,470.60,Near,,2081.60,
