CodingDate,VideoCoder,VideoFileName,TrialDate,Experimenter,BirdID,Name,Test,Condition,Item,Time,Session,LatencyFirstLandingOnFloor,LatencyFirstTimeWithin20cmOfObject,LatencyFirstTouchToFood,LatencyFirstTouchToApparatus,TotalDurationNear<20cm,TotalDurationFar>20cm,TotalDurationOutOfView,ClosestDistanceToApparatus,TrialDuration,TotalTouchesToApparatus,MotorActionsUsed,TotalNumberMotorActionsUsedForThisBirdInThisExperiment,Notes
3/8/21,KM,A021-K & A026PP 2019-1-9 Boldness Hawk T1,1/9/19,KM,A021-K,Pico,Boldness,2,C3,1,1,900,n/a,n/a,n/a,n/a,900,n/a,n/a,900,n/a,n/a,n/a,"In view, but >10m whole time"
3/8/21,KM,A021-K & A026PP 2019-1-9 Boldness Hawk T1,1/9/19,KM,A026PP,Jamaica,Boldness,2,C3,1,1,900,n/a,n/a,n/a,n/a,900,n/a,n/a,900,n/a,n/a,n/a,"In view, but >10m whole time"
3/8/21,KM,A021-K & A026PP 2019-1-9 Boldness Hawk T1,1/9/19,KM,A021-K,Pico,Boldness,3,C3,1,1,900,n/a,n/a,n/a,n/a,600,n/a,n/a,600,n/a,n/a,n/a,Did not come back for crackers
3/8/21,KM,A021-K & A026PP 2019-1-9 Boldness Hawk T1,1/9/19,KM,A026PP,Jamaica,Boldness,3,C3,1,1,900,n/a,n/a,n/a,n/a,600,n/a,n/a,600,n/a,n/a,n/a,Did not come back for crackers
12/3/20,KM,A009-L & A015OO 2018-12-21 ExploreEnv Time1 Novel S1.mp4,12/21/18,KM,A009-L,Chile,Exploration,Novel,Environment,1,1,120,n/a,n/a,n/a,n/a,300,2400,Far,2700,n/a,0,n/a,"Chile did not come within 10m, on ground trying to scrounge, then stayed in tree singing"
12/3/20,KM,"A007-S, A009-L, A018BB, A032RR 2019-1-4 ExploreObj Time1 Familiar S1",1/4/19,KM,A009-L,Chile,Exploration,Familiar,Object,1,1,120,n/a,n/a,n/a,n/a,20,2680,Far,2700,n/a,n/a,n/a,As close as 2m
12/3/20,KM,A007-S & A009-L 2019-01-8 ExploreObj Time1 Novel S1,1/8/19,KM,A009-L,Chile,Exploration,Novel,Object,1,1,1200,n/a,n/a,n/a,n/a,360,2340,Far,2700,n/a,0,n/a,As close as ~4m from obj from min 20 - min 26
12/3/20,KM,"A007-S, A009-L, A018BB, A032RR 2019-1-4 ExploreObj Time1 Familiar S1",1/4/19,KM,A007-S,Taquito,Exploration,Familiar,Object,1,1,15,n/a,n/a,n/a,n/a,245,2455,Far,2700,n/a,n/a,n/a,As close as 2m
12/3/20,KM,A007-S & A009-L 2019-01-8 ExploreObj Time1 Novel S1,1/8/19,KM,A007-S,Taquito,Exploration,Novel,Object,1,1,1200,n/a,n/a,n/a,n/a,300,2400,Far,2700,n/a,0,n/a,As close as ~4m from obj from min 20 - min 25
3/8/21,KM,Chimi & Chalupa 2019-3-21 ExploreObj Time1 Familiar,3/21/19,KM,A025GO,Chalupa,Exploration,Familiar,Object,1,2,4370,n/a,n/a,n/a,n/a,10,4370,Far,4380,n/a,n/a,n/a,approached to 0.5m from familiar object
