Bird,Experiment,NoMotorActionsCoder1,NoMotorActionsCoder2,Action,ActionPresentCoder1,ActionPresentCoder2,MotCoder1,MotCoder2
Queso,Exploration Object,,,PullVert,No,No,Vincent Kiepsch,Alexis Breen
Queso,Exploration Object,,,PullHorz,No,No,Vincent Kiepsch,Alexis Breen
Queso,Exploration Object,,,PullUpDown,No,No,Vincent Kiepsch,Alexis Breen
Queso,Exploration Object,,,PullOnTop,No,No,Vincent Kiepsch,Alexis Breen
Queso,Exploration Object,,,GrabVert,No,No,Vincent Kiepsch,Alexis Breen
Queso,Exploration Object,,,GrabHorz,No,No,Vincent Kiepsch,Alexis Breen
Queso,Exploration Object,,,GrabUpDown,No,No,Vincent Kiepsch,Alexis Breen
Queso,Exploration Object,,,GrabOnTop,No,No,Vincent Kiepsch,Alexis Breen
Queso,Exploration Object,,,GapeVert,No,No,Vincent Kiepsch,Alexis Breen
Queso,Exploration Object,,,GapeHorz,No,No,Vincent Kiepsch,Alexis Breen
Queso,Exploration Object,,,GapeUpDown,No,No,Vincent Kiepsch,Alexis Breen
Queso,Exploration Object,,,GapeOnTop,No,No,Vincent Kiepsch,Alexis Breen
Queso,Exploration Object,,,StandOnTop,No,No,Vincent Kiepsch,Alexis Breen
Queso,Boldness,0,0,PeckVert,No,No,Vincent Kiepsch,Alexis Breen
Queso,Boldness,,,PeckHorz,No,No,Vincent Kiepsch,Alexis Breen
Queso,Boldness,,,PeckUpDown,No,No,Vincent Kiepsch,Alexis Breen
Queso,Boldness,,,PeckOnTop,No,No,Vincent Kiepsch,Alexis Breen
Queso,Boldness,,,PushVert,No,No,Vincent Kiepsch,Alexis Breen
Queso,Boldness,,,PushHorz,No,No,Vincent Kiepsch,Alexis Breen
Queso,Boldness,,,PushUpDown,No,No,Vincent Kiepsch,Alexis Breen
Queso,Boldness,,,PushOnTop,No,No,Vincent Kiepsch,Alexis Breen
Queso,Boldness,,,PullVert,No,No,Vincent Kiepsch,Alexis Breen
Queso,Boldness,,,PullHorz,No,No,Vincent Kiepsch,Alexis Breen
Queso,Boldness,,,PullUpDown,No,No,Vincent Kiepsch,Alexis Breen
Queso,Boldness,,,PullOnTop,No,No,Vincent Kiepsch,Alexis Breen
Queso,Boldness,,,GrabVert,No,No,Vincent Kiepsch,Alexis Breen
Queso,Boldness,,,GrabHorz,No,No,Vincent Kiepsch,Alexis Breen
Queso,Boldness,,,GrabUpDown,No,No,Vincent Kiepsch,Alexis Breen
Queso,Boldness,,,GrabOnTop,No,No,Vincent Kiepsch,Alexis Breen
Queso,Boldness,,,GapeVert,No,No,Vincent Kiepsch,Alexis Breen
