VideoFileName,Experiment,Coder1timeentertent,Coder1closestdistancetoapparatus,Coder2timeentertent,Coder2closestdistancetoapparatus,"Notes: coder 1=Alexis, coder 2=Vincent"
A035P- 2019-2-11 Boldness Time2 C3 T3,Boldness,,n/a,,n/a,
A036R-2018-12-22 Boldness C1 T1,Boldness,,n/a,,n/a,
A036R-2018-12-22 Boldness C1 T2,Boldness,,OutOfView,,OutOfView,
A036R-2018-12-22 Boldness C1 T3,Boldness,,n/a,,n/a,
A036R-2018-12-25 Boldness C2 T1,Boldness,,n/a,,n/a,
A036R-2018-12-25 Boldness C2 T2,Boldness,,Far,,Far,
A036R-2018-12-25 Boldness C2 T3,Boldness,,n/a,,n/a,
A036R-2018-12-24 Boldness C3 T1,Boldness,,n/a,,n/a,
A036R-2018-12-24 Boldness C3 T2,Boldness,,OutOfView,,OutOfView,
A036R-2018-12-24 Boldness C3 T3,Boldness,,n/a,,n/a,
A036R- 2019-2-11 Boldness Time2 C1 T1,Boldness,,n/a,,n/a,
A036R- 2019-2-11 Boldness Time2 C1 T2,Boldness,,OutOfView,,OutOfView,
A036R- 2019-2-11 Boldness Time2 C1 T3,Boldness,,n/a,,n/a,
A036R- 2019-02-10 Boldness Time2 C2 T1,Boldness,,n/a,,n/a,
A036R- 2019-02-10 Boldness Time2 C2 T2,Boldness,,OutOfView,,OutOfView,
A036R- 2019-02-10 Boldness Time2 C2 T3,Boldness,,n/a,,n/a,
A036R- 2019-2-8 Boldness Time2 C3 T1,Boldness,,n/a,,n/a,
A036R- 2019-2-8 Boldness Time2 C3 T2,Boldness,,OutOfView,,OutOfView,
A036R- 2019-2-8 Boldness Time2 C3 T3,Boldness,,n/a,,n/a,
