ObserverID,Site,FocalID,BirdID,Date,TimeStamp,How,What,FoodType,TimeInViewThisFocalSec,LocationOfFocal,GPSofFocalAtEnd,ForagingTimeStamps,ForagingDuration,TranscriberID,TranscriptionDate,Notes
Corina Logan,BTGR,17,B10PN,2023-12-26,10:44,Dig,Worm,Worm,361,"Lake June Park: SE, center","27.3050858, -81.3773354",,,Corina Logan,2023-12-26,
Corina Logan,BTGR,17,B10PN,2023-12-26,10:44,Dig,Insect,Insect,361,"Lake June Park: SE, center","27.3050858, -81.3773354",,,Corina Logan,2023-12-26,
Corina Logan,BTGR,17,B10PN,2023-12-26,10:44,End,Foraging,,361,"Lake June Park: SE, center","27.3050858, -81.3773354",,,Corina Logan,2023-12-26,"Only foraged in the SE section. He was sitting in a tree in the center section at the end, but not foraging"
Corina Logan,BTGR,17,B10PN,2023-12-26,10:48,End,Focal,,361,"Lake June Park: SE, center","27.3050858, -81.3773354",,,Corina Logan,2023-12-26,
Corina Logan,BTGR,18,B08GK,2023-12-28,13:37,Start,Focal,,30,Lake June Park: SW,"27.3039153, -81.3776807",,,Corina Logan,2023-12-28,
Corina Logan,BTGR,18,B08GK,2023-12-28,13:37,State,Foraging,,30,Lake June Park: SW,"27.3039153, -81.3776807",,,Corina Logan,2023-12-28,
Corina Logan,BTGR,18,B08GK,2023-12-28,13:37,End,Focal,,30,Lake June Park: SW,"27.3039153, -81.3776807",,,Corina Logan,2023-12-28,
Corina Logan,BTGR,19,B08GK,2023-12-28,13:39,Start,Focal,,258,Lake June Park: SW,"27.3042489, -81.3776448",,,Corina Logan,2023-12-28,
Corina Logan,BTGR,19,B08GK,2023-12-28,13:39,State,Foraging,,258,Lake June Park: SW,"27.3042489, -81.3776448",,,Corina Logan,2023-12-28,
Corina Logan,BTGR,19,B08GK,2023-12-28,13:39,Dig,Insect,Insect,258,Lake June Park: SW,"27.3042489, -81.3776448",,,Corina Logan,2023-12-28,
Corina Logan,BTGR,19,B08GK,2023-12-28,13:39,Catch,Insect,Insect,258,Lake June Park: SW,"27.3042489, -81.3776448",,,Corina Logan,2023-12-28,
Corina Logan,BTGR,19,B08GK,2023-12-28,13:40,Catch,Insect,Insect,258,Lake June Park: SW,"27.3042489, -81.3776448",,,Corina Logan,2023-12-28,
