"","MothersID","DayofYear","NestID","Interval","Fate","MalesIDinTerritory","Year","DayofYear2","FatScore","Experimenter","Body","Body2","Fatbin","Aviary"
"141","Chimichanga",19172,"AN066",9,0,"UB","2019",-2.17908567274922,1,"KM",100.653637529965,0.839233226258052,1,"yes"
"142","Chimichanga",19128,"AN049",6,1,"UB","2019",-2.29996766912542,1,"KM",100.653637529965,0.839233226258052,1,"yes"
"143","Chimichanga",19175,"AN066.1",1,1,"UB","2019",-2.17084371845084,1,"KM",100.653637529965,0.839233226258052,1,"yes"
"144","Chimichanga",19174,"AN066.1",2,1,"UB","2019",-2.1735910365503,1,"KM",100.653637529965,0.839233226258052,1,"yes"
"145","Chimichanga",19209,"AN066.1",5,0,"UB","2019",-2.07743490306923,1,"KM",100.653637529965,0.839233226258052,1,"yes"
"146","Chimichanga",19177,"AN066.1",2,1,"UB","2019",-2.16534908225192,1,"KM",100.653637529965,0.839233226258052,1,"yes"
"148","Chimichanga",19156,"AN066",3,1,"UB","2019",-2.22304276234056,1,"KM",100.653637529965,0.839233226258052,1,"yes"
"149","Chimichanga",19204,"AN066.1",1,1,"UB","2019",-2.09117149356653,1,"KM",100.653637529965,0.839233226258052,1,"yes"
"152","Chimichanga",19203,"AN066.1",26,1,"UB","2019",-2.09391881166598,1,"KM",100.653637529965,0.839233226258052,1,"yes"
"153","Cochinita",20101,"AN017",1,1,"UB","2020",0.373172841648309,0,"KM",87.290707980439,-0.85523207534323,0,"no"
"154","Cochinita",20098,"AN017",1,1,"UB","2020",0.364930887349932,0,"KM",87.290707980439,-0.85523207534323,0,"no"
"155","Cochinita",20107,"AN017",1,1,"UB","2020",0.389656750245064,0,"KM",87.290707980439,-0.85523207534323,0,"no"
"156","Cochinita",20170,"AN080",2,1,"UB","2020",0.562737790510989,0,"KM",87.290707980439,-0.85523207534323,0,"no"
"157","Cochinita",20125,"AN017",2,0,"UB","2020",0.439108476035328,0,"KM",87.290707980439,-0.85523207534323,0,"no"
"158","Cochinita",20097,"AN017",4,1,"UB","2020",0.362183569250473,0,"KM",87.290707980439,-0.85523207534323,0,"no"
"159","Cochinita",20106,"AN017",1,1,"UB","2020",0.386909432145605,0,"KM",87.290707980439,-0.85523207534323,0,"no"
"160","Cochinita",20100,"AN017",2,1,"UB","2020",0.37042552354885,0,"KM",87.290707980439,-0.85523207534323,0,"no"
"161","Cochinita",20092,"AN017",1,1,"UB","2020",0.348446978753177,0,"KM",87.290707980439,-0.85523207534323,0,"no"
"162","Cochinita",20093,"AN017",1,1,"UB","2020",0.351194296852636,0,"KM",87.290707980439,-0.85523207534323,0,"no"
