CodingDate,VideoCoder,VideoFileName,TrialDate,Experimenter,BirdID,Test,AviaryOrWild,Condition,Time,IndicatedTrial,LatencyFirstLandingOnFloor,LatencyFirstTimeWithin20cmOfObject,LatencyFirstTouchToFood,LatencyFirstTouchToApparatus,ApproachedFirst,TotalDurationNear<20cm,TotalDurationFar>20cm,TotalDurationOutOfView,ClosestDistanceToApparatus,TrialDuration,TotalTouchesToApparatus,MotorActionsUsed,TotalNumberMotorActionsUsedForThisBirdInThisExperiment,Notes
2020-02-18,AJB,A025GO 2018-12-25 Boldness Time1 C2 T2,2018-12-25,CL,A025GO,Boldness,Aviary,C2,1,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,904.40,OutOfView,904.40,n/a,n/a,n/a,
2020-02-18,AJB,A025GO 2018-12-25 Boldness Time1 C2 T3,2018-12-25,CL,A025GO,Boldness,Aviary,C2,1,3,59.00,n/a,61.40,n/a,n/a,n/a,n/a,n/a,n/a,304.80,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-18,AJB,A025GO 2018-12-24 Boldness C3 T1,2018-12-24,CL,A025GO,Boldness,Aviary,C3,1,1,23.80,n/a,25.80,n/a,n/a,n/a,n/a,n/a,n/a,307.80,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-18,AJB,A025GO 2018-12-24 Boldness C3 T2,2018-12-24,CL,A025GO,Boldness,Aviary,C3,1,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,904.60,OutOfView,904.60,n/a,n/a,n/a,
2020-02-18,AJB,A025GO 2018-12-24 Boldness C3 T3,2018-12-24,CL,A025GO,Boldness,Aviary,C3,1,3,45.40,n/a,47.60,n/a,n/a,n/a,n/a,n/a,n/a,305.40,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-18,AJB,A025GO 2019-01-14 Boldness Time2 C1 T1,2019-01-14,CL,A025GO,Boldness,Aviary,C1,2,1,34.80,n/a,40.00,n/a,n/a,n/a,n/a,n/a,n/a,326.60,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-18,AJB,A025GO 2019-01-14 Boldness Time2 C1 T2,2019-01-14,CL,A025GO,Boldness,Aviary,C1,2,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,916.80,OutOfView,916.80,n/a,n/a,n/a,
2020-02-18,AJB,A025GO 2019-01-14 Boldness Time2 C1 T3,2019-01-14,CL,A025GO,Boldness,Aviary,C1,2,3,53.40,n/a,55.20,n/a,n/a,n/a,n/a,n/a,n/a,343.40,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-18,AJB,A025GO 2019-01-15 Boldness Time2 C2 T1,2019-01-15,CL,A025GO,Boldness,Aviary,C2,2,1,29.60,n/a,30.80,n/a,n/a,n/a,n/a,n/a,n/a,318.80,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-18,AJB,A025GO 2019-01-15 Boldness Time2 C2 T2,2019-01-15,CL,A025GO,Boldness,Aviary,C2,2,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,907.20,OutOfView,907.20,n/a,n/a,n/a,
2020-02-18,AJB,A025GO 2019-01-15 Boldness Time2 C2 T3,2019-01-15,CL,A025GO,Boldness,Aviary,C2,2,3,22.20,n/a,25.80,n/a,n/a,n/a,n/a,n/a,n/a,329.80,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-18,AJB,A025GO 2019-01-16 Boldness Time2 C3 T1,2019-01-16,CL,A025GO,Boldness,Aviary,C3,2,1,24.80,n/a,26.80,n/a,n/a,n/a,n/a,n/a,n/a,314.40,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-18,AJB,A025GO 2019-01-16 Boldness Time2 C3 T2,2019-01-16,CL,A025GO,Boldness,Aviary,C3,2,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,912.00,OutOfView,912.00,n/a,n/a,n/a,
2020-02-18,AJB,A025GO 2019-01-16 Boldness Time2 C3 T3,2019-01-16,CL,A025GO,Boldness,Aviary,C3,2,3,26.60,n/a,29.40,n/a,n/a,n/a,n/a,n/a,n/a,314.40,n/a,n/a,0,No Solomon output excel file because not trial 2
2020-02-19,AJB,A031-Y 2018-12-25 Boldness C1 T1,2018-12-25,CL,A031-Y,Boldness,Aviary,C1,1,1,16.20,n/a,18.00,n/a,n/a,n/a,n/a,n/a,n/a,303.80,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-19,AJB,A031-Y 2018-12-25 Boldness C1 T2,2018-12-25,CL,A031-Y,Boldness,Aviary,C1,1,2,319.80,630.00,633.00,n/a,Food,n/a,346.60,566.00,Far,912.40,n/a,n/a,n/a,
2020-02-19,AJB,A031-Y 2018-12-25 Boldness C1 T3,2018-12-25,CL,A031-Y,Boldness,Aviary,C1,1,3,37.40,n/a,38.60,n/a,n/a,n/a,n/a,n/a,n/a,301.20,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-19,AJB,A031-Y 2018-12-24 Boldness C2 T1,2018-12-24,CL,A031-Y,Boldness,Aviary,C2,1,1,12.80,n/a,14.20,n/a,n/a,n/a,n/a,n/a,n/a,308.40,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-19,AJB,A031-Y 2018-12-24 Boldness C2 T2,2018-12-24,CL,A031-Y,Boldness,Aviary,C2,1,2,636.40,679.80,680.20,n/a,Food,n/a,127.60,778.80,Far,906.20,n/a,n/a,n/a,
2020-02-19,AJB,A031-Y 2018-12-24 Boldness C2 T3,2018-12-24,CL,A031-Y,Boldness,Aviary,C2,1,3,18.60,n/a,19.80,n/a,n/a,n/a,n/a,n/a,n/a,301.20,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-19,AJB,A031-Y 2018-12-26 Boldness Time1 C3 T1,2018-12-26,CL,A031-Y,Boldness,Aviary,C3,1,1,12.20,n/a,13.00,n/a,n/a,n/a,n/a,n/a,n/a,303.20,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-19,AJB,A031-Y 2018-12-26 Boldness Time1 C3 T2,2018-12-26,CL,A031-Y,Boldness,Aviary,C3,1,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,911.80,OutOfView,911.80,n/a,n/a,n/a,
2020-02-19,AJB,A031-Y 2018-12-26 Boldness Time1 C3 T3,2018-12-26,CL,A031-Y,Boldness,Aviary,C3,1,3,13.40,n/a,14.40,n/a,n/a,n/a,n/a,n/a,n/a,306.60,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-19,AJB,A031-Y 2019-02-03 Boldness Time2 C1 T1,2019-02-03,LB,A031-Y,Boldness,Aviary,C1,2,1,19.80,n/a,21.00,n/a,n/a,n/a,n/a,n/a,n/a,458.20,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-19,AJB,A031-Y 2019-02-03 Boldness Time2 C1 T2,2019-02-03,LB,A031-Y,Boldness,Aviary,C1,2,2,234.80,n/a,n/a,n/a,Food,n/a,11.20,892.80,Far,903.80,n/a,n/a,n/a,
2020-02-19,AJB,A031-Y 2019-02-03 Boldness Time2 C1 T3,2019-02-03,LB,A031-Y,Boldness,Aviary,C1,2,3,38.80,n/a,40.00,n/a,n/a,n/a,n/a,n/a,n/a,307.60,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-19,AJB,A031-Y 2019-2-1 Boldness Time2 C2 T1,2019-02-01,KM,A031-Y,Boldness,Aviary,C2,2,1,12.80,n/a,13.80,n/a,n/a,n/a,n/a,n/a,n/a,313.40,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-19,AJB,A031-Y 2019-2-1 Boldness Time2 C2 T2,2019-02-01,KM,A031-Y,Boldness,Aviary,C2,2,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,623.60,OutOfView,623.60,n/a,n/a,n/a,
